Column 1 1 2 1,CATEGORY,Column 1 2 1 3 2 1 1,Column 1 2 1 3 2 2 1,Column 1 2 1 3 2 3 1,Column 1 2 1 3 2 4 1
"""Boomerang for Gmail""","[""scheduling-calendar""]","""Product Usage""",,,
"""myViewBoard""","[""productivity""]","""Product Usage""",,,
"""NoPaperForms""","[""crm"",""education""]","""Product Usage""",,,
"""i-web""","[""human-resources"",""productivity"",""scheduling-calendar""]",,,,
"""Coursera""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Disco""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Pillar""","[""human-resources""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Donations by Pledge""","[""eCommerce"",""eCommerce"",""eCommerce""]","""Product Usage""",,,
"""Coda App""","[""team-collaborations""]",,,,
"""LearnQ.ai""","[""education"",""learning-development""]","""Product Usage""",,,
"""Aircover""","[""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Live by IPSTUDIO""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Nimbo Telehealth""","[""health-care"",""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Scheduler""","[""scheduling-calendar""]","""Content""","""Product Usage""",,
"""Jira Plugin for Zoom Meetings and Recordings""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""CozyCal Scheduling""","[""scheduling-calendar""]",,,,
"""SS&C Intralinks""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""SUMO Scheduler""","[""scheduling-calendar""]","""Product Usage""",,,
"""Wrapsody eCo Connector""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""MinhaSala""","[""learning-development""]",,,,
"""Qlick for Zoom""","[""scheduling-calendar""]","""Product Usage""",,,
"""Mobile Text Alerts - SMS Reminders""","[""health-care"",""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""EngageCE Conversation Engine""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""VIVIT LINK""","[""scheduling-calendar""]","""Product Usage""",,,
"""Spontivly""","[""analytics""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Dewo""","[""scheduling-calendar""]","""Product Usage""",,,
"""Workona Quick Create""","[""productivity""]","""Product Usage""",,,
"""Cassyni""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Tetra Insights""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Meeting Minutes""","[""productivity"",""recording-transcriptions"",""transcription-translation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""JD Create Meetings""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""SanaFitness""","[""health-care"",""scheduling-calendar""]","""Registration Information""","""Content""","""Product Usage""",
"""OptimizePress""","[""marketing""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Autodesk Construction Cloud""","[""team-collaborations""]",,,,
"""IntervalCam""","[""social-activities""]","""Product Usage""",,,
"""Cabinet - Software for Assistants""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Magic Moment Playbook""","[""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Thalamus""","[""health-care"",""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""IlmSquare-OAUth""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""MySCP""","[""sales-automation""]",,,,
"""Arc Studio""","[""team-collaborations""]","""Product Usage""",,,
"""BlueCamroo""","[""crm""]",,,,
"""CurAlly Ph""","[""health-care"",""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Demiks Admin""","[""crm"",""education""]","""Product Usage""",,,
"""Alexa for Zoom Rooms""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""MootUp Meetings in VR for Zoom""","[""team-collaborations""]","""Product Usage""",,,
"""HuddleUp Scheduling""","[""team-collaborations""]","""Product Usage""",,,
"""Professional E-Mail Suite""","[""team-collaborations""]","""Product Usage""",,,
"""Zoom for InflowKit Shopify app""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Asite""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Practera""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""SkillMil""","[""customer-service"",""education""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""AugmentED""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Degree Analytics""","[""analytics"",""education""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Fanconvo""","[""scheduling-calendar""]","""Product Usage""",,,
"""Beecome""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Hacosco Tour""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Optimiser.io""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Starchive""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""Spacecubed""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""StyleForSubstance-MeetingOrganizer""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""SoloClic.com""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Sniperhire""","[""productivity""]","""Product Usage""",,,
"""Tegoora Supplier""","[""social-activities""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Askchat""","[""eventmanagement"",""health-care""]","""Product Usage""",,,
"""Meet&Greet""","[""team-collaborations""]","""Product Usage""",,,
"""Sinorbis""","[""marketing""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Stellarlane""","[""education"",""scheduling-calendar""]","""Product Usage""",,,
"""Blast""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""APIANT for Zoom Admins""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Intello""","[""analytics""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Okta Identity""","[""content-and-compliance""]",,,,
"""#AskAway""","[""games""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Pardot""","[""marketing""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Spark""","[""team-collaborations""]","""Product Usage""",,,
"""NGP VAN + EveryAction Webinars""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Pipedrive""","[""crm""]",,,,
"""Zoom Webinars for WooCommerce""","[""eCommerce""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Bookwhen""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Pillar Admin""","[""human-resources""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Wingman""","[""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Mentimeter""","[""education"",""team-collaborations""]",,,,
"""Montara""","[""human-resources""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""OfficeSpace Software App""","[""productivity""]","""Product Usage""",,,
"""Zoom Rooms Controller""","[""team-collaborations""]","""Product Usage""",,,
"""meetings.fun - party, trivia, games""","[""games"",""learning-development"",""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Linius Whizzard""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Experiences App""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Fooji""","[""marketing""]",,,,
"""Yesware""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Vagaro Pro""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""wordly""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Boom Calendar""","[""customer-service""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Side Door""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Modjo for Zoom Phone""","[""sales-automation""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""SchoolTracs Sync""","[""education"",""learning-development""]","""Product Usage""",,,
"""TutorCruncher""","[""crm""]","""Product Usage""",,,
"""Gymternet""","[""social-activities""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Illumine Connect""","[""education"",""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Partners Office""","[""scheduling-calendar""]","""Product Usage""",,,
"""WodBuster""","[""crm"",""health-care""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Click & Pledge""","[""eCommerce"",""education""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Soar - for individual accounts""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Omnify""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Rock - stop slacking, start rocking""","[""productivity""]",,,,
"""Sonero.ai""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""cloudstudios""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Terminland""","[""scheduling-calendar""]","""Product Usage""",,,
"""24Edu""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Ravmesser Zoom Plugin""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Soar Audio for Admins""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Ethnio""","[""scheduling-calendar""]","""Product Usage""",,,
"""aulas""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""CYBERCHAT""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Agendex""","[""eventmanagement"",""scheduling-calendar"",""team-collaborations""]","""Product Usage""",,,
"""Vyte Scheduling""","[""scheduling-calendar""]","""Product Usage""",,,
"""WeTeachMe""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Rewatch for You""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Zimbra Cloud Integration""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""DermEngine""","[""health-care"",""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""VBOUT""","[""marketing""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Remind""","[""education"",""learning-development""]",,,,
"""Shopify Courses by Architechpro""","[""education"",""eventmanagement"",""learning-development"",""scheduling-calendar""]",,,,
"""StreamAnchor""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Flixier""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""Tabtastic""","[""scheduling-calendar""]",,,,
"""WakaTime""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""GoalsMapper""","[""eCommerce""]","""Product Usage""",,,
"""Capture - Cloud Recording Transfers""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""Piktostory""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""Zoom for Raisers Edge NXT""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Water Cooler Monster""","[""team-collaborations""]","""Product Usage""",,,
"""Tanbuu""","[""scheduling-calendar""]","""Product Usage""",,,
"""Tactic""","[""team-collaborations""]","""Product Usage""",,,
"""Confluence Plugin For Zoom Recordings""","[""team-collaborations""]","""Registration Information""","""Content""","""Product Usage""",
"""Qwoach""","[""productivity"",""scheduling-calendar""]","""Product Usage""",,,
"""Trengo""","[""productivity""]",,,,
"""Event Cadence""","[""eventmanagement""]","""Product Usage""",,,
"""Fund@mental""","[""eCommerce""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Missed Booking""","[""eventmanagement""]","""Product Usage""",,,
"""Notes2Conf""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""MamanClass""","[""learning-development""]","""Product Usage""",,,
"""Salons Virtuels Adiona""","[""team-collaborations""]",,,,
"""Sophya""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""School Recruiter""","[""education"",""scheduling-calendar""]","""Product Usage""",,,
"""Okfit""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Clinivid Meetings""","[""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""ViDDD.co""","[""marketing""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Snag""","[""productivity""]",,,,
"""Qodify""","[""eCommerce""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Piazza Talent""","[""human-resources""]","""Product Usage""",,,
"""K-BUILD""","[""eventmanagement"",""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Savante.me""","[""scheduling-calendar""]","""Product Usage""",,,
"""StusolsZ""","[""education"",""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Aldeia""","[""learning-development""]",,,,
"""JustClick.jp""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""go-do""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""SCOUT AU""","[""human-resources""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""IntergratewithCandaly""","[""scheduling-calendar""]","""Content""","""Product Usage""",,
"""Natural Therapy Pages""","[""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""VideoLab OAuth""","[""education"",""health-wellness""]","""Registration Information""","""Content""","""Product Usage""",
"""Epic""","[""health-care"",""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Marvin - User Interview Companion""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Cvent""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Rev Live Captions""","[""transcription-translation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Wix""","[""scheduling-calendar""]","""Product Usage""",,,
"""Repurpose.io""","[""marketing""]","""Registration Information""","""Content""","""Product Usage""",
"""Achievers""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Coda Admin""","[""team-collaborations""]","""Registration Information""","""Content""","""Product Usage""",
"""Saba Cloud - Webinars""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Timer""","[""productivity""]",,,,
"""LGN Poker""","[""games""]","""Product Usage""",,,
"""Funtivity by Hermis""","[""games""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""TimeRex""","[""scheduling-calendar""]",,,,
"""dotdigital""","[""marketing""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Huntflow""","[""human-resources""]","""Product Usage""",,,
"""eeasy for Members""","[""scheduling-calendar""]","""Product Usage""",,,
"""TuCalendi""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""TidyCal""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Calendars by Readdle""","[""scheduling-calendar""]","""Product Usage""",,,
"""Zoho Bookings""","[""scheduling-calendar""]","""Product Usage""",,,
"""Dot Collector""","[""human-resources"",""productivity"",""team-collaborations""]","""Content""","""Product Usage""",,
"""RECEPTIONIST""","[""scheduling-calendar""]","""Product Usage""",,,
"""Boardable""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Glue Up""","[""marketing""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Cabinet.fm""","[""eventmanagement""]",,,,
"""Salesken""","[""sales-automation""]","""Registration Information""","""Content""","""Product Usage""",
"""Medic Mind Booking""","[""learning-development"",""scheduling-calendar""]","""Product Usage""",,,
"""Daylite Zoom Integration""","[""sales-automation""]","""Product Usage""",,,
"""PagerDuty""","[""team-collaborations""]","""Product Usage""",,,
"""Trafft""","[""scheduling-calendar""]","""Product Usage""",,,
"""Skoolix""","[""education"",""learning-development""]","""Product Usage""",,,
"""Crewmojo""","[""human-resources""]","""Product Usage""",,,
"""CompleteCSM.ai - Customer Success Intelligence""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Residency Program Fair""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Pulse""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""LINKLET""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""nTask""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Honey""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Fitli for Zoom""","[""scheduling-calendar""]","""Product Usage""",,,
"""Ovatu""","[""scheduling-calendar""]","""Product Usage""",,,
"""Berrys App""","[""education"",""team-collaborations""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""Start Booking""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Gooru""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Form Director""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Transposit""","[""team-collaborations""]","""Product Usage""",,,
"""Open eLMS""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Cloud Gym""","[""health-care"",""scheduling-calendar""]","""Product Usage""",,,
"""App Palestre""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Vyopta CPM for Zoom Phone""","[""analytics""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""m.Care""","[""health-care"",""health-wellness""]","""Product Usage""",,,
"""Eleos Health""","[""health-care"",""health-wellness""]","""Content""","""Product Usage""",,
"""Path""","[""education"",""learning-development""]","""Product Usage""",,,
"""Acadly""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Demoflow Meeting Scheduler""","[""sales-automation""]",,,,
"""Localist""","[""marketing""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Ayoa - The all-in-one online whiteboard""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Cyrano Navigate""","[""analytics"",""customer-service"",""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""ZMFY""","[""education"",""social-activities""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Social27 Digital Events""","[""education"",""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Schedulr""","[""team-collaborations""]","""Product Usage""",,,
"""The Bright App""","[""eventmanagement""]",,,,
"""Wellocity Health""","[""health-care"",""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Zoom Meeting for Ohmni Robot""","[""health-care"",""team-collaborations""]","""Product Usage""",,,
"""Interview scheduling software by 100Hires""","[""human-resources""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Wajooba""","[""education"",""scheduling-calendar""]","""Product Usage""",,,
"""Namaste.fit""","[""health-care"",""social-activities""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Genyo eLearning""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Atravo""","[""scheduling-calendar""]","""Product Usage""",,,
"""EDUcal for users""","[""education"",""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Swivl Teams""","[""education"",""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""MailCloud""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""manababa""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Casting Workbook""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""OneMob - Edit, Share & Track Video Recordings""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""Cue Calendar""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Tephrame""","[""scheduling-calendar""]",,,,
"""Livestack""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Clouderous""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""GoOutfitter""","[""social-activities""]","""Product Usage""",,,
"""Gozzer""","[""scheduling-calendar""]",,,,
"""PitchNinjas""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Etomon""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""SKY FORCE""","[""sales-automation""]","""Product Usage""",,,
"""Canopyschool""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Workplace""","[""team-collaborations""]","""Registration Information""","""Content""","""Product Usage""",
"""FreeAgent CRM - Zoom Phone CTI""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Life Style Plan""","[""eCommerce""]","""Product Usage""",,,
"""indemandly""","[""customer-service""]","""Product Usage""",,,
"""Smarty Software CRM""","[""crm"",""marketing"",""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""The Edge Tutors""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Drive Electric Event Registration""","[""eventmanagement""]",,,,
"""Answers for Associations""","[""marketing""]","""Product Usage""",,,
"""Zoom for HubSpot""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Vyopta CPM""","[""analytics""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""TeamUp""","[""eventmanagement""]","""Product Usage""",,,
"""Okta Workflows""","[""content-and-compliance""]","""Product Usage""",,,
"""Lever""","[""human-resources""]","""Product Usage""",,,
"""Virtual Backgrounds""","[""social-activities""]",,,,
"""Calero-MDSL - UCaaS Expense Management""","[""analytics"",""eCommerce""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""SafeGuard Cyber""","[""content-and-compliance""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Jiminny""","[""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Practice Better""","[""health-care"",""health-wellness""]","""Registration Information""","""Content""","""Product Usage""",
"""LearnUpon""","[""learning-development""]","""Registration Information""","""Content""","""Product Usage""",
"""Thought Industries""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Engineerica Tracker""","[""education"",""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Personal Special""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Skedulo""","[""scheduling-calendar""]","""Product Usage""",,,
"""Preferred Systems""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Product Usage""",
"""Docketbot - Zoom Meeting Agendas and Recaps""","[""team-collaborations""]",,,,
"""GOrendezvous""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Loyalsnap""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Session""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Bored - Icebreaker Backgrounds""","[""productivity""]","""Product Usage""",,,
"""Retain""","[""education"",""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""ClickUp""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Equitable Classrooms""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Paradox Olivia - Account Level App""","[""scheduling-calendar""]",,,,
"""Money Forward IT Management Cloud""","[""content-and-compliance""]","""Product Usage""",,,
"""NovoEd Connector - Account Level""","[""education"",""learning-development""]","""Content""","""Product Usage""",,
"""amptalk for Zoom""","[""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Raycast""","[""productivity""]","""Product Usage""",,,
"""Hera""","[""productivity""]","""Product Usage""",,,
"""Act! CRM""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""AXLE""","[""crm""]","""Product Usage""",,,
"""Betts Connect""","[""human-resources""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Walla""","[""eventmanagement"",""social-activities""]","""Content""","""Product Usage""",,
"""IntelliKid Systems""","[""crm"",""education""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Cloud Recording Backup - zBackup.app""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
